iter	Passed	Remaining
0	150	150318
1	158	78971
2	163	54456
3	168	41977
4	172	34323
5	176	29178
6	179	25434
7	182	22629
8	185	20401
9	188	18664
10	191	17199
11	193	15966
12	196	14935
13	199	14035
14	201	13257
15	205	12629
16	208	12041
17	212	11578
18	215	11117
19	218	10704
20	220	10292
21	223	9919
22	225	9588
23	228	9277
24	230	8988
25	234	8774
26	236	8534
27	239	8307
28	242	8118
29	244	7916
30	247	7734
31	250	7569
32	252	7403
33	255	7245
34	257	7102
35	259	6960
36	262	6829
37	264	6702
38	267	6581
39	269	6467
40	270	6335
41	273	6228
42	275	6129
43	277	6039
44	280	5952
45	283	5873
46	286	5803
47	288	5729
48	291	5652
49	293	5585
50	296	5514
51	298	5445
52	301	5383
53	303	5321
54	306	5259
55	308	5196
56	310	5138
57	312	5082
58	315	5032
59	317	4981
60	320	4930
61	322	4883
62	325	4839
63	328	4797
64	331	4761
65	333	4719
66	335	4674
67	338	4632
68	340	4591
69	342	4553
70	345	4517
71	347	4481
72	350	4446
73	352	4416
74	355	4385
75	358	4357
76	361	4328
77	363	4299
78	366	4270
79	368	4241
80	371	4213
81	373	4185
82	376	4157
83	378	4129
84	381	4101
85	382	4068
86	385	4042
87	387	4017
88	390	3995
89	392	3971
90	395	3947
91	397	3927
92	401	3917
93	405	3909
94	408	3892
95	411	3879
96	415	3865
97	418	3849
98	420	3828
99	423	3808
100	425	3788
101	428	3768
102	431	3758
103	434	3741
104	436	3722
105	439	3703
106	441	3684
107	444	3670
108	447	3655
109	450	3643
110	453	3631
111	455	3614
112	458	3598
113	460	3582
114	463	3568
115	466	3552
116	468	3536
117	470	3519
118	473	3504
119	475	3488
120	478	3474
121	480	3459
122	483	3444
123	485	3431
124	489	3428
125	494	3432
126	500	3439
127	503	3431
128	507	3426
129	510	3415
130	512	3402
131	515	3390
132	519	3384
133	523	3383
134	526	3374
135	529	3366
136	533	3359
137	536	3353
138	539	3344
139	543	3336
140	546	3328
141	549	3321
142	552	3312
143	555	3304
144	559	3296
145	562	3290
146	565	3282
147	568	3274
148	572	3267
149	575	3260
150	578	3251
151	581	3243
152	584	3235
153	587	3226
154	590	3220
155	594	3218
156	597	3210
157	601	3203
158	604	3196
159	610	3203
160	613	3196
161	615	3183
162	618	3175
163	627	3199
164	634	3209
165	639	3215
166	643	3212
167	647	3205
168	650	3198
169	653	3189
170	655	3179
171	658	3169
172	660	3159
173	663	3149
174	665	3138
175	670	3137
176	673	3129
177	675	3121
178	678	3112
179	681	3102
180	684	3095
181	686	3085
182	689	3076
183	691	3066
184	693	3057
185	696	3048
186	699	3039
187	701	3030
188	704	3021
189	706	3011
190	709	3003
191	711	2995
192	714	2987
193	717	2980
194	719	2971
195	722	2964
196	725	2955
197	728	2949
198	731	2943
199	733	2934
200	736	2926
201	738	2918
202	741	2910
203	744	2906
204	747	2898
205	749	2889
206	752	2881
207	754	2872
208	757	2866
209	760	2859
210	762	2852
211	765	2845
212	768	2838
213	770	2830
214	773	2824
215	776	2817
216	778	2809
217	781	2801
218	783	2794
219	785	2786
220	789	2782
221	792	2777
222	795	2770
223	797	2764
224	800	2758
225	804	2755
226	808	2753
227	811	2749
228	815	2744
229	818	2738
230	820	2731
231	823	2724
232	825	2717
233	828	2710
234	830	2703
235	833	2697
236	835	2691
237	838	2684
238	840	2677
239	843	2670
240	846	2665
241	849	2660
242	852	2654
243	854	2648
244	857	2643
245	860	2636
246	862	2630
247	865	2623
248	867	2617
249	870	2611
250	873	2606
251	876	2601
252	879	2597
253	882	2590
254	884	2584
255	887	2578
256	889	2572
257	892	2567
258	895	2562
259	898	2556
260	901	2551
261	903	2546
262	906	2540
263	909	2535
264	911	2528
265	914	2523
266	916	2517
267	919	2511
268	922	2505
269	924	2500
270	927	2494
271	930	2489
272	932	2483
273	935	2478
274	937	2472
275	940	2467
276	943	2462
277	946	2457
278	948	2452
279	951	2446
280	954	2441
281	956	2435
282	959	2429
283	961	2424
284	964	2419
285	967	2414
286	969	2409
287	972	2403
288	974	2398
289	977	2392
290	979	2387
291	982	2382
292	986	2379
293	989	2375
294	992	2372
295	996	2369
296	999	2365
297	1001	2359
298	1004	2354
299	1006	2348
300	1009	2344
301	1011	2338
302	1016	2337
303	1018	2332
304	1021	2327
305	1024	2322
306	1026	2317
307	1029	2312
308	1032	2307
309	1034	2303
310	1038	2299
311	1040	2295
312	1043	2291
313	1046	2286
314	1049	2282
